champion,rarity_score,rank
1,49.65424306,667
2,45.54076311,1091
3,40.03519556,1484
4,74.96766517,134
5,42.93539266,1352
6,44.87773797,1160
7,54.26900801,429
8,43.88224643,1271
9,54.62071642,416
10,44.3117776,1222
11,47.54062612,847
12,50.85227552,580
13,335.942646,18
14,56.72141292,333
15,45.32170468,1121
16,49.18647635,709
17,45.64398043,1075
18,45.17277796,1130
19,45.41553211,1111
20,44.85229291,1163
21,55.8321363,372
22,41.68095741,1426
23,102.0290081,77
24,47.03565615,909
25,57.63352472,296
26,45.53233301,1095
27,59.25259716,240
28,103.8088821,68
29,49.26759259,699
30,47.34970986,870
31,42.94492125,1350
32,46.02964724,1026
33,238.7164831,21
34,56.85648461,327
35,58.75028525,254
36,786.3936384,1
37,50.45560349,606
38,106.133355,59
39,46.01180128,1027
40,50.91759069,576
41,49.94643224,638
42,49.73451533,662
43,57.68495112,293
44,47.13377051,896
45,424.1124607,4
46,46.35725486,990
47,46.558742,968
48,53.61204413,452
49,47.73861653,823
50,61.26417382,202
51,195.4480559,39
52,53.65159335,449
53,55.85606386,368
54,47.95010229,806
55,100.1990932,83
56,60.69120386,212
57,44.97115532,1149
58,47.72785194,825
59,47.59589289,840
60,41.3806125,1443
61,45.80343196,1050
62,44.80079632,1168
63,111.6497705,53
64,46.26919536,1000
65,46.17808013,1006
66,100.1731271,84
67,56.83343322,329
68,41.8320449,1416
69,43.34694058,1316
70,46.96783696,914
71,59.0839186,245
72,65.94169622,158
73,45.64066839,1076
74,67.88466398,147
75,59.21804055,241
76,54.25953342,430
77,44.12712863,1246
78,45.96154266,1038
79,48.51415044,759
80,95.01537779,96
81,52.97632331,493
82,55.17354158,399
83,47.7801786,819
84,49.50837396,680
85,49.72744965,663
86,41.3747226,1444
87,46.29500559,996
88,50.62666739,599
89,45.30707123,1122
90,57.58893346,300
91,44.2028192,1234
92,42.44188315,1381
93,65.98893093,157
94,57.28849782,311
95,58.33694292,272
96,47.70783341,830
97,60.02725278,225
98,50.75685329,592
99,47.10758609,899
100,56.03742902,362
101,41.69505341,1425
102,53.98762432,440
103,42.34581222,1387
104,48.25121698,777
105,47.90813195,812
106,49.5166167,678
107,55.4027322,387
108,44.83557795,1164
109,56.699298,335
110,45.80872114,1049
111,44.52949774,1205
