Season:,Champion:,Rarity_Score:,Rank:,Image:
2,1,74.35332581,407,https://ergotokens.org/#/?token=062e71bcd3e65682b0772c1954b446ced42ebe255d8bf8653a5d12ceefbba53d
2,2,73.16489196,464,https://ergotokens.org/#/?token=067833a1b946acbc13ea379af1a94f81b6750c5a717c880e7abd76c093d5da67
2,3,60.96118661,1299,https://ergotokens.org/#/?token=06a88f005e59cfd44c03bab634bfdd09b1299bb2cf144adc69a06e6d53979133
2,4,89.13526547,44,https://ergotokens.org/#/?token=08290e26f095aadff4511d8be71f5256d9c57fc92b8c0c715d2f5bbcf0003276
2,5,63.8246595,1106,https://ergotokens.org/#/?token=099618abae058fb1af7d0ec75bf1c45aa62f550f27684073d4b949b12703eefe
2,6,68.48522877,766,https://ergotokens.org/#/?token=0c48bc62127612d5f85f2f6783b52654508c2dc6a831187344647521829a182e
2,7,62.61875515,1184,https://ergotokens.org/#/?token=0cb57445cbc0765d0aaa82f95fa26fc6c82d1639a9f380eaad7627188e5ea1d1
2,8,72.18405964,530,https://ergotokens.org/#/?token=0cc45efcb0450460a83c65a79d1668b9c5a6721699e7e0940fb5a6a94068e824
2,9,66.24074813,949,https://ergotokens.org/#/?token=0e01cfd974fb36f0b2a02617c7f65fd4102153e1cb4393635276ae8836b643ae
2,10,56.58375897,1478,https://ergotokens.org/#/?token=0f9e773fd1d57ce5de73c60ee25bca12c6fb4c2698932ee62ea95ddbbfd31611
2,11,71.754932,558,https://ergotokens.org/#/?token=130948f1357c6ba11bc14abac8fd807cde53d94d3a9c6aeb8e7308f2b1db1f52
2,12,76.56877969,317,https://ergotokens.org/#/?token=147e20a60e2a547ad5708b9ec0b143b8027eb43c5f3b2fcc987f7082c36f9eae
2,13,73.0862665,470,https://ergotokens.org/#/?token=172740b297086e671c8fb15be36c9b1b095ec3a490b75bbe4202f3753d653838
2,14,67.44069387,860,https://ergotokens.org/#/?token=18217b1d691266f5bb15f1f14eb06921bdd723c359141eb00e441b18bc40548e
2,15,80.21595716,185,https://ergotokens.org/#/?token=19479d8cc4fe253ea5e831fab099f62aef41492103db2952c9fc3d7a2d72b096
2,16,80.06103149,191,https://ergotokens.org/#/?token=1a0a5119ee2960612b5565bc0963e4e6fb72f1927dd483641bbe26f92b6bdd2f
2,17,75.19465715,382,https://ergotokens.org/#/?token=1a1fcb57b3d4c35290f0632f35008e7db414aad313e312883ee6ed94608257fd
2,18,63.36111091,1135,https://ergotokens.org/#/?token=1ba7fdcb47e4c1a6b5c49dfd8ee7051a1ff85387e6ff9b5c1ed444f7724255a8
2,19,63.7877072,1109,https://ergotokens.org/#/?token=1c51efd1163d11529529ec9d7bb986b0d690aa549306af4addef0c207dbc740b
2,20,58.2741096,1439,https://ergotokens.org/#/?token=1ca8b6c28d18e552835a651970ca5043e52fe7f391d6e0b8d904e9eca96fb5f3
2,21,66.82025863,908,https://ergotokens.org/#/?token=1e53806e6bebf676c51860889421c916961d852175ba92d68ad7ff78c46e30f9
2,22,62.34192594,1204,https://ergotokens.org/#/?token=1ed4666bf8d1d454e5994071782b6e2e481831ed5e2b0a09d48df57601fdd32a
2,23,71.98108994,543,https://ergotokens.org/#/?token=1f7ca13e631e81b682597832269a0d52afce4db22ac718a5ca7a1a231371275a
2,24,70.92213119,610,https://ergotokens.org/#/?token=2061df0f4cf987c685aa4ef8232f296a2d3267e6978ee5f32c01f347ab09997d
2,25,59.49790981,1384,https://ergotokens.org/#/?token=22376e4a15bf3f7f2ce48e61691c297d70d04aabde7c63d45c85d74fdae80fec
2,26,72.23139737,524,https://ergotokens.org/#/?token=2265ba8077a4e5e1ccab4e631f87c27918ba90657061940902f0c1c64f320337
2,27,85.53206059,77,https://ergotokens.org/#/?token=23a5d9511a354a1facf09e70aae130b7a93df302ae96b71a51589defc2e8cde0
2,28,65.00943327,1029,https://ergotokens.org/#/?token=23cedbd87b5cff4d81201587cb4f2493df47c4609c5be03ae624706ff76e7ddd
2,29,67.18705739,882,https://ergotokens.org/#/?token=23d43c297797338fe28a12cf5f2be7cc0c2a79a9b111dc995e875833ac09e6b9
2,30,74.86634581,395,https://ergotokens.org/#/?token=25749d0a035e59cdb98c39997569ed34ff14994ff9fd3e418fa9584ed2819d76
2,31,65.80853593,971,https://ergotokens.org/#/?token=285fd9d13174ba8e9c006d46dd35b30db737eedb3dcb86d5fa496520267e9611
2,32,64.27881694,1079,https://ergotokens.org/#/?token=28f9d588cc935e83b90326659f2de911e163c4021f717cf41755470b246a7a13
2,33,68.75810562,743,https://ergotokens.org/#/?token=298ef930a53a341483c5a3d2b19431f81247fcebaf61202a3c3bb55b45d1c8ac
2,34,61.94348083,1229,https://ergotokens.org/#/?token=2cff469d1129327a1cdcc0df0e411833078ebd69aff043aa45175b745197787d
2,35,72.60319045,499,https://ergotokens.org/#/?token=2d0cd0237a4a5ee0a971bd5e0b9cac968c2108d7d031f6cc88bab6a7aa5dd458
2,36,63.53175865,1126,https://ergotokens.org/#/?token=2d3cf6467d042ed04bf618d784ea16a7f7e8da97722dab0a6d2c69e6161e0d24
2,37,67.8602398,822,https://ergotokens.org/#/?token=2ee057602089bb9e7493411ef85b46175151012a3054c6c79570c38c5d1db1f2
2,38,61.5718442,1255,https://ergotokens.org/#/?token=30145b991e3cb67ed561f3c02d9e073ea470e862466c5c510d84117302c4db2e
